FILE     : ETPOLUT1.DAT
STATUS   : 1997.03.16                                       
CONTENTS : Pole coordinates and earth rotation,                                  
           one day sampling interval, given at 0 hours UTC.             
                                                                                
           The pole coordinates, UT1-UTC and TAI-UT1 have been taken from 
           files EOPC04.xx (xx = year), transferred from IERS via INTERNET 
           to Karlsruhe at 19941108, 19950310, 19951011, 19960218, 19970305
           and transformed to current format using program IERS.FOR. 
                          
           Adress: 145.238.2.21
           login:  anonymous
           password: wenzel gik karlsruhe
           directory: cd iers cd old
                                                      
           Start: 19720101  MJD = 41317.000                                     
           End  : 19970228  MJD = 50507.000                                     

           Span :                  9190.000 days  = 25.16 years                  
                                                                                
Date     Time    MJD          x         y       UT1-UTC   TAI-UT1                                   
                             ["]       ["]      [SEC]     [SEC]                                   
C****************************************************************************** 
19720101 000000 41317.000   0.03250   0.02000 -0.045536 10.045536
19720102 000000 41318.000   0.02900   0.01920 -0.048151 10.048151
19720103 000000 41319.000   0.02540   0.01850 -0.050958 10.050958
19720104 000000 41320.000   0.02190   0.01780 -0.053944 10.053944
19720105 000000 41321.000   0.01840   0.01720 -0.057070 10.057070
19720106 000000 41322.000   0.01490   0.01660 -0.060264 10.060264
19720107 000000 41323.000   0.01140   0.01610 -0.063479 10.063479
19720108 000000 41324.000   0.00800   0.01560 -0.066648 10.066648
19720109 000000 41325.000   0.00450   0.01520 -0.069730 10.069730
19720110 000000 41326.000   0.00100   0.01480 -0.072697 10.072697
19720111 000000 41327.000  -0.00240   0.01450 -0.075535 10.075535
19720112 000000 41328.000  -0.00580   0.01420 -0.078260 10.078260
19720113 000000 41329.000  -0.00920   0.01400 -0.080897 10.080897
19720114 000000 41330.000  -0.01250   0.01380 -0.083527 10.083527
19720115 000000 41331.000  -0.01590   0.01360 -0.086211 10.086211
19720116 000000 41332.000  -0.01920   0.01350 -0.089047 10.089047
19720117 000000 41333.000  -0.02250   0.01340 -0.092108 10.092108
19720118 000000 41334.000  -0.02570   0.01340 -0.095432 10.095432
19720119 000000 41335.000  -0.02890   0.01340 -0.099017 10.099017
19720120 000000 41336.000  -0.03210   0.01340 -0.102809 10.102809
19720121 000000 41337.000  -0.03520   0.01350 -0.106698 10.106698
19720122 000000 41338.000  -0.03830   0.01360 -0.110530 10.110530
19720123 000000 41339.000  -0.04140   0.01370 -0.114211 10.114211
19720124 000000 41340.000  -0.04440   0.01390 -0.117661 10.117661
19720125 000000 41341.000  -0.04740   0.01410 -0.120860 10.120860
19720126 000000 41342.000  -0.05030   0.01430 -0.123866 10.123866
19720127 000000 41343.000  -0.05320   0.01460 -0.126764 10.126764
19720128 000000 41344.000  -0.05610   0.01490 -0.129672 10.129672
19720129 000000 41345.000  -0.05890   0.01520 -0.132693 10.132693
19720130 000000 41346.000  -0.06160   0.01550 -0.135887 10.135887
19720131 000000 41347.000  -0.06430   0.01590 -0.139274 10.139274
